,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-3, 1-PGD-1-1
5.600000000000000000e+01,1.011649858971468205e+02,4.927133784579694975e+02,2.116004839930724586e+02,1.834979939017531336e+01,1.314155294109045080e+00
5.700000000000000000e+01,2.135829676804059432e+02,1.489413805157124848e+00,2.940694239125034528e+02,5.456009242672226200e-01,7.436787207465529015e+00
5.800000000000000000e+01,1.425456439484261182e+02,1.107620396846505706e+00,1.370907025022373489e+02,5.456009242672226200e-01,7.436787207465529015e+00
5.900000000000000000e+01,1.108385256551310647e+02,9.016923484842621628e-01,5.856231848789649348e+02,5.456009242672226200e-01,7.436787207465529015e+00
6.000000000000000000e+01,1.314579802069656012e+02,4.533854820063109514e+02,1.629733038443806947e+02,2.068249993712881363e+01,1.421857299671005048e+00
6.100000000000000000e+01,1.377054352656510900e+02,4.049298654215081115e+02,2.208893862381066810e+02,2.370265472977501275e+01,1.582884938043117140e+00
6.200000000000000000e+01,3.022955103365802643e+02,1.667915093147595673e+00,2.212264026233237644e+02,2.781878400567481258e+00,4.521407810625426293e+01
6.300000000000000000e+01,4.693479375639806506e+01,1.755012505806325009e+02,9.889805829326991216e+01,7.546781979647693817e+00,6.661507011771948816e-01
6.400000000000000000e+01,1.891811173687567873e+02,3.261795248984757905e+02,1.074472368711766990e+02,2.347056385209148743e+01,1.566955973325869333e+00
6.500000000000000000e+01,2.014227370818817349e+02,5.322609430932506029e+02,2.661256516648813317e+02,2.458998969545479696e+01,1.626540111401043820e+00
6.600000000000000000e+01,9.124200964434267291e+01,7.059609343521847657e-01,7.016568599304363829e+01,5.456009242672226200e-01,7.285122459427347152e+00
6.700000000000000000e+01,7.283415928213321422e+01,9.585922911087567666e-01,2.148813274246151366e+02,4.920173883218681987e-01,5.199597123881631866e+00
6.800000000000000000e+01,7.915212530059545770e+01,2.662585205086276687e+02,1.958578563172918052e+02,1.512559024989547929e+01,1.135556605624624682e+00
6.900000000000000000e+01,1.017222766170330033e+02,8.029710583832904147e-01,1.535136047114620226e+02,5.456009242672226200e-01,7.436787207465529015e+00
7.000000000000000000e+01,8.484029214847834055e+01,2.698074960441921917e+02,1.274040624066277587e+02,1.837689810906568866e+01,1.313550791196842482e+00
7.100000000000000000e+01,6.421758030233056047e+01,6.722301226894666915e-01,4.038005187832327181e+01,3.527539654910540889e-01,3.912693483456031185e+00
7.200000000000000000e+01,1.621622528639730376e+02,1.379956508417825134e+00,3.731140309488295088e+02,1.095602942229255694e+00,1.775109755341141238e+01
7.300000000000000000e+01,2.157801433734093735e+02,1.526227308230190927e+00,1.169790725033070657e+02,5.456009242672226200e-01,7.436787207465529015e+00
7.400000000000000000e+01,2.849282260410382719e+02,6.425772627432326090e+02,4.444416065511920806e+02,2.914448845345399874e+01,1.827543712365822470e+00
7.500000000000000000e+01,3.219034475924508456e+02,2.891301309479811898e+00,6.144806788283563037e+02,2.825667684173050809e+00,4.614347872451774180e+01
7.600000000000000000e+01,8.047777705366888767e+01,8.149404644069387915e-01,3.056676921983598731e+02,5.255302258272653848e-01,6.616795895014308648e+00
7.700000000000000000e+01,3.228415448618007844e+01,1.126495174030812052e+02,5.836044758450025682e+01,1.662949526847898873e-01,3.126170927887826634e-02
7.800000000000000000e+01,6.702922575510841341e+01,2.073553068243719508e+02,2.116749415662501406e+02,1.225844912287286270e+01,9.872511164978032827e-01
7.900000000000000000e+01,7.862238296924897440e+01,9.639855659611350491e-01,1.919501821076510737e+02,5.214880179894243462e-01,6.456340821460492485e+00
8.000000000000000000e+01,1.803732525834535920e+02,8.296414051109103349e-01,1.209988219380171017e+02,5.456009242672226200e-01,7.436787207465529015e+00
8.100000000000000000e+01,1.341814937781918218e+02,1.093704691572761512e+00,2.094933062517109761e+02,1.016720024721123661e+00,1.594309220859776666e+01
8.200000000000000000e+01,2.636682510929280170e+02,3.686226555347797103e+02,1.557941363269835620e+02,2.738593356295429615e+01,1.736031425345542667e+00
8.300000000000000000e+01,1.155379707646029885e+02,7.686890062290495651e-01,2.193662171923248252e+02,5.456009242672226200e-01,7.436787207465529015e+00
8.400000000000000000e+01,6.377277149140740420e+01,4.945062563554822876e-01,1.154957899548797258e+02,5.027169083325168097e-01,5.570122049964961519e+00
8.500000000000000000e+01,1.085484376733709269e+02,6.198783306015410721e-01,6.500032657181145623e+01,5.456009242672226200e-01,7.436787207465529015e+00
8.600000000000000000e+01,1.263663542691514436e+02,4.493076671985978123e+02,3.120458107652547142e+02,2.144278608778016704e+01,1.461564597697927237e+00
8.700000000000000000e+01,9.246824739248867786e+01,1.985875611956940645e+02,2.970109949310619299e+02,1.425528395912305690e+01,1.094488487253879816e+00
8.800000000000000000e+01,1.008649863543070637e+02,1.029031682405064743e+02,9.107556663570365174e+01,1.603709227451248864e+01,1.176954591279044893e+00
8.900000000000000000e+01,1.737791142723194753e+02,1.325865751325855602e+00,2.314646306147982102e+02,5.456009242672226200e-01,7.436787207465529015e+00
9.000000000000000000e+01,6.975206290732923264e+01,1.225298257774349198e+00,1.332670557402548752e+02,5.968563972245591875e-01,7.021696425442218725e+00
9.100000000000000000e+01,1.744968094478002172e+02,4.405341691032252243e+02,2.810130375231627227e+02,1.915639102136278638e+01,1.345512976497571289e+00
9.200000000000000000e+01,1.872106671200243113e+02,9.733558821443284437e-01,7.087955360087785266e+02,1.186826102330160060e+00,1.927993510101596897e+01
9.300000000000000000e+01,1.069858381449541298e+02,1.312335829746237525e+00,1.133568215860370856e+02,5.456009242672226200e-01,7.436787207465529015e+00
9.400000000000000000e+01,1.466505284908828912e+02,8.352477355051727281e-01,2.507155288207330841e+02,5.456009242672226200e-01,7.436787207465529015e+00
9.500000000000000000e+01,1.848109293865121003e+02,4.623698244755909172e+02,2.330084102546377096e+02,2.405981582237516747e+01,1.599768087055609689e+00
9.600000000000000000e+01,1.333297772354179642e+02,9.439089591195107820e-01,1.942955909966180741e+02,5.456009242672226200e-01,7.436787207465529015e+00
9.700000000000000000e+01,1.835196504347662767e+02,5.489009918037407942e+02,2.359699011645929545e+02,2.625427243655783016e+01,1.699034421592436450e+00
9.800000000000000000e+01,3.722062643908565605e+01,1.006990019765300985e+02,7.723080742081906180e+01,6.273520274040278899e+00,5.606612903208979537e-01
9.900000000000000000e+01,2.518834149483732574e+02,4.621786240032329260e+02,1.297760281046744240e+02,2.798433333322116212e+01,1.763726226038591527e+00
