,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
6.500000000000000000e+01,1.536462195197031804e+02,4.289947498877223779e+02,2.348873142948802695e+02,1.298118032299913693e+01,7.830319422057895329e-01
6.600000000000000000e+01,1.096587218310171323e+02,3.617249863035585236e+02,5.324344033708641177e+01,1.651194902904879136e+00,1.270472011289852377e-01
6.700000000000000000e+01,7.300134214841116886e+01,3.190099200366077525e+02,1.508466548883414475e+02,7.367292056686414625e+00,5.037491489503940212e-01
6.800000000000000000e+01,9.074447428200519994e+01,8.173394221062083576e-01,2.564917859578983439e+02,8.263162030593559915e-02,1.396018535899467228e+00
6.900000000000000000e+01,1.098296538488440035e+02,3.213170356463423332e+02,1.260604783189048703e+02,1.108823565275133483e+01,6.888020101134393336e-01
7.000000000000000000e+01,9.438093625202999704e+01,3.136075611564601218e+02,1.554661105997469974e+02,2.881199329932623954e+00,1.832270375413332375e-01
7.100000000000000000e+01,9.220465570122868826e+01,4.342764531011878830e+02,6.005584433599346994e+01,2.548042742211958256e+00,1.622509186716082907e-01
7.200000000000000000e+01,1.497519150548789639e+02,1.323724636058726922e+00,3.392384232012216785e+02,1.771216042384869405e-01,3.113813990187372482e+00
7.300000000000000000e+01,2.145087420216998453e+02,7.051936044255390925e+02,9.826581138513152780e+01,1.905295776201135993e+01,1.081802440856864500e+00
7.400000000000000000e+01,2.478041407326209651e+02,7.298330603920561543e+02,2.565683426262274907e+02,2.595441835912940221e+01,1.303397832253354371e+00
7.500000000000000000e+01,4.602350806967666017e+02,1.690487427733081176e+03,5.591403525434944868e+02,3.442563300462791176e+01,1.864334213783999106e+00
7.600000000000000000e+01,8.473997550104134291e+01,3.441559637032951287e+02,2.603045234814667310e+02,6.082418310144038109e+00,4.410091535266539853e-01
7.700000000000000000e+01,2.194031548203621895e+01,8.082593258151324278e+01,2.867145506862585336e+01,5.299793183393311513e-02,3.341732139408168639e-03
7.800000000000000000e+01,7.006613712482790390e+01,2.159142520427581644e+02,1.703086478284166674e+02,4.666180779825195302e-01,3.758356369385574408e-02
7.900000000000000000e+01,7.520513578881723049e+01,3.385056271967123962e+02,1.099578125491816536e+02,3.517268968176098465e+00,2.978884411414094990e-01
8.000000000000000000e+01,1.567379852229375956e+02,3.210081670766174966e+02,6.877317101376478092e+01,6.971561895376659379e+00,3.930511995969944161e-01
8.100000000000000000e+01,1.370967256139221888e+02,4.980275413360911330e+02,1.528884445765692703e+02,1.161920153589925242e+01,7.166678122617391455e-01
8.200000000000000000e+01,2.071415262324408104e+02,3.775305253370544847e+02,1.431284243257250921e+02,2.742699437798604123e+01,1.379916342234393634e+00
8.300000000000000000e+01,1.376626415597176845e+02,3.412654994438661333e+02,2.403643474233979589e+02,4.871394458323181631e+00,2.874050895874871725e-01
8.400000000000000000e+01,8.113204584903877503e+01,1.909680098899069662e+02,9.171200684610900566e+01,9.696642470426905192e+00,6.543931399492664003e-01
8.500000000000000000e+01,1.085745581754982396e+02,2.227057177493000495e+02,4.036100549809348337e+01,3.818786835768137600e+00,2.339443410444478066e-01
8.600000000000000000e+01,1.673302142750140433e+02,1.333494860133822568e+00,2.445583673736960577e+02,1.993754592855832286e-01,3.690069145525861405e+00
8.700000000000000000e+01,9.537295181474824801e+01,2.091745445679840998e+02,2.019922294258800548e+02,1.107817286062957685e+01,7.122999791243015411e-01
8.800000000000000000e+01,9.072163253805761940e+01,2.200800666051455912e-01,8.964770110678166759e+01,8.260238309779059651e-02,1.395603818927070749e+00
8.900000000000000000e+01,2.530551724768453141e+02,5.225979651884342729e+02,1.565172623654056849e+02,7.732338976035912914e+00,4.244988052325247008e-01
9.000000000000000000e+01,7.695038111341297338e+01,5.078318088845944089e+02,6.893442828912614573e+01,2.406247513152101725e+00,1.697487515778051959e-01
9.100000000000000000e+01,1.440199777042780909e+02,3.697132813246962542e+02,1.706208130921431803e+02,1.610700631485785905e+01,9.625137498146655313e-01
9.200000000000000000e+01,1.824488239896184609e+02,4.731886316378904667e+02,6.396205921251078053e+02,6.076010586491022991e+00,3.401749138013503981e-01
9.300000000000000000e+01,9.685984044223208400e+01,5.652078073546148289e+02,7.809193786368805945e+01,3.170686702688014336e+00,1.965261368275355580e-01
9.400000000000000000e+01,9.174447619467409254e+01,2.142813067927694703e+02,1.466086173257891687e+02,1.455579393435921709e+01,8.923809449708880459e-01
9.500000000000000000e+01,1.985358564052315558e+02,4.396476519350131298e+02,1.701775818189213112e+02,1.692468293957963610e+01,9.988840070520906833e-01
9.600000000000000000e+01,1.825927403417775849e+02,4.300269899741231825e+02,1.527126882224589224e+02,5.336019967533099262e+00,3.090332451554447246e-01
9.700000000000000000e+01,1.758075406375621981e+02,5.480879884110822786e+02,1.632919595556610091e+02,2.138133017382901357e+01,1.171560638542898269e+00
9.800000000000000000e+01,3.991468538201792882e+01,9.615848108880400957e+01,6.651790050401054089e+01,4.368531345763131957e-01,3.323194094996148595e-02
9.900000000000000000e+01,2.957213381904243761e+02,5.469330705425126098e+02,7.805620870875766570e+01,3.512727034400194270e+01,1.834212610540758792e+00
